TripNumber,Trip_Type,Distance,T_HC,T_HD,Avg_HD_TripNo,Avg_HC_TripType,Avg_HD_TripType,GT_T_HC,GT_T_HD,GT_Avg_HD_TripNo,GT_Avg_HC_TripType,GT_Avg_HD_TripType,Trip_code,Trip_Time,Time_Context,Road_Context
66,14,0.7,4,1800,450,4,1740,4,1800,450,5,2030,Kam-Nar,08:00 PM,Evening Office Time,SingleRoad-BothWay
67,14,0.7,5,1850,370,4,1740,5,1800,360,5,2030,Kam-Nar,08:00 PM,Evening Office Time,SingleRoad-BothWay
68,14,0.7,5,2250,450,4,1740,6,2700,450,5,2030,Kam-Nar,08:00 PM,Evening Office Time,SingleRoad-BothWay
69,14,0.7,4,1400,350,4,1740,6,2100,350,5,2030,Kam-Nar,08:00 PM,Evening Office Time,SingleRoad-BothWay
70,14,0.7,4,1440,360,4,1740,5,1750,350,5,2030,Kam-Nar,08:00 PM,Evening Office Time,SingleRoad-BothWay
