TripNumber,Trip_Type,Distance,T_HC,T_HD,Avg_HD_TripNo,Avg_HC_TripType,Avg_HD_TripType,GT_T_HC,GT_T_HD,GT_Avg_HD_TripNo,GT_Avg_HC_TripType,GT_Avg_HD_TripType,Trip_code,Trip_Time,Time_Context,Road_Context
61,13,5.2,4,1640,410,4,1750,5,2000,400,5,1980,AJ-Kam,07:45 PM,Evening Office Time,MultiLane-SingleWay
62,13,5.2,5,2250,450,4,1750,5,2250,450,5,1980,AJ-Kam,07:45 PM,Evening Office Time,MultiLane-SingleWay
63,13,5.2,4,1920,480,4,1750,5,2350,470,5,1980,AJ-Kam,07:45 PM,Evening Office Time,MultiLane-SingleWay
64,13,5.2,3,1170,390,4,1750,4,1520,380,5,1980,AJ-Kam,07:45 PM,Evening Office Time,MultiLane-SingleWay
65,13,5.2,5,1800,360,4,1750,5,1800,360,5,1980,AJ-Kam,07:45 PM,Evening Office Time,MultiLane-SingleWay
