TripNumber,Trip_Type,Distance,T_HC,T_HD,Avg_HD_TripNo,Avg_HC_TripType,Avg_HD_TripType,GT_T_HC,GT_T_HD,GT_Avg_HD_TripNo,GT_Avg_HC_TripType,GT_Avg_HD_TripType,T_HC(Bike),T_HD(Bike),Avg_HD_TripNo(Bike),Avg_HC_TripType(Bike),Avg_HD_TripType(Bike),Trip_code,Trip_Time,Time_Context,Road_Context
26,6,1.8,2,760,380,2,1100,3,1230,410,3,1370,19,4390,230,19,4310,JU-RMM,09:50 AM,Morning Office Time,SingleRoad-SingleWay
27,6,1.8,2,1000,500,2,1100,2,980,490,3,1370,21,4840,230,19,4310,JU-RMM,09:50 AM,Morning Office Time,SingleRoad-SingleWay
28,6,1.8,2,860,430,2,1100,3,1290,430,3,1370,21,3970,190,19,4310,JU-RMM,09:50 AM,Morning Office Time,SingleRoad-SingleWay
29,6,1.8,3,1440,480,2,1100,3,1410,470,3,1370,17,3680,210,19,4310,JU-RMM,09:50 AM,Morning Office Time,SingleRoad-SingleWay
30,6,1.8,3,1470,490,2,1100,4,1960,490,3,1370,16,4670,290,19,4310,JU-RMM,09:50 AM,Morning Office Time,SingleRoad-SingleWay
