TripNumber,Trip_Type,Distance,T_HC,T_HD,Avg_HD_TripNo,Avg_HC_TripType,Avg_HD_TripType,GT_T_HC,GT_T_HD,GT_Avg_HD_TripNo,GT_Avg_HC_TripType,GT_Avg_HD_TripType,Trip_code,Trip_Time,Time_Context,Road_Context
87,18,16,20,7000,350,17,7370,22,8360,380,18,7930,NewT-Bel,08:30 PM,Evening Office-Time,MultiLane-SingleWay
88,18,16,18,8100,450,17,7370,20,9600,480,18,7930,NewT-Bel,08:30 PM,Evening Office-Time,MultiLane-SingleWay
89,18,16,15,6150,410,17,7370,15,5700,380,18,7930,NewT-Bel,08:30 PM,Evening Office-Time,MultiLane-SingleWay
90,18,16,21,10080,480,17,7370,21,10080,480,18,7930,NewT-Bel,08:30 PM,Evening Office-Time,MultiLane-SingleWay
91,18,16,20,7600,380,17,7370,22,8800,400,18,7930,NewT-Bel,08:30 PM,Evening Office-Time,MultiLane-SingleWay
92,18,16,14,5320,380,17,7370,15,6000,400,18,7930,NewT-Bel,08:30 PM,Evening Office-Time,MultiLane-SingleWay
93,18,16,18,7920,440,17,7370,20,7600,380,18,7930,NewT-Bel,08:30 PM,Evening Office-Time,MultiLane-SingleWay
94,18,16,14,6860,490,17,7370,15,7350,490,18,7930,NewT-Bel,08:30 PM,Evening Office-Time,MultiLane-SingleWay
