TripNumber,Trip_Type,Distance,T_HC,T_HD,Avg_HD_TripNo,Avg_HC_TripType,Avg_HD_TripType,GT_T_HC,GT_T_HD,GT_Avg_HD_TripNo,GT_Avg_HC_TripType,GT_Avg_HD_TripType,T_HC(Bike),T_HD(Bike),Avg_HD_TripNo(Bike),Avg_HC_TripType(Bike),Avg_HD_TripType(Bike),Trip_code,Trip_Time,Time_Context,Road_Context
1,1,3.9,4,1760,440,6,2630,4,1640,410,7,2860,28,11010,220,32,10700,Brp-Gob,08:30 AM,Morning Office Time,SingleRoad-BothWay
2,1,3.9,6,2580,430,6,2630,8,3360,420,7,2860,30,8370,200,32,10700,Brp-Gob,08:30 AM,Morning Office Time,SingleRoad-BothWay
3,1,3.9,7,2520,360,6,2630,8,2960,370,7,2860,33,9580,290,32,10700,Brp-Gob,08:30 AM,Morning Office Time,SingleRoad-BothWay
4,1,3.9,9,3600,400,6,2630,9,3600,400,7,2860,32,10880,270,32,10700,Brp-Gob,08:30 AM,Morning Office Time,SingleRoad-BothWay
5,1,3.9,6,2700,450,6,2630,6,2760,460,7,2860,36,13680,240,32,10700,Brp-Gob,08:30 AM,Morning Office Time,SingleRoad-BothWay
