TripNumber,Trip_Type,Distance,T_HC,T_HD,Avg_HD_TripNo,Avg_HC_TripType,Avg_HD_TripType,GT_T_HC,GT_T_HD,GT_Avg_HD_TripNo,GT_Avg_HC_TripType,GT_Avg_HD_TripType,Trip_code,Trip_Time,Time_Context,Road_Context
71,15,11,14,5180,370,13,5400,14,5460,390,14,5870,Nar-Gob,08:10 PM,Evening Office Time,SingleRoad-BothWay
72,15,11,12,5160,430,13,5400,13,5460,420,14,5870,Nar-Gob,08:10 PM,Evening Office Time,SingleRoad-BothWay
73,15,11,15,6900,460,13,5400,16,7840,490,14,5870,Nar-Gob,08:10 PM,Evening Office Time,SingleRoad-BothWay
74,15,11,14,5320,380,13,5400,15,5550,370,14,5870,Nar-Gob,08:10 PM,Evening Office Time,SingleRoad-BothWay
75,15,11,12,4440,370,13,5400,14,5040,360,14,5870,Nar-Gob,08:10 PM,Evening Office Time,SingleRoad-BothWay
