TripNumber,Trip_Type,Distance,T_HC,T_HD,Avg_HD_TripNo,Avg_HC_TripType,Avg_HD_TripType,GT_T_HC,GT_T_HD,GT_Avg_HD_TripNo,GT_Avg_HC_TripType,GT_Avg_HD_TripType,T_HC(Bike),T_HD(Bike),Avg_HD_TripNo(Bike),Avg_HC_TripType(Bike),Avg_HD_TripType(Bike),Trip_code,Trip_Time,Time_Context,Road_Context
46,10,2,0,0,0,1,360,0,0,0,1,540,10,2760,280,6,1410,SAN-JU,05:00 PM,Afternoon,SingleRoad-SingleWay
47,10,2,2,960,480,1,360,2,940,470,1,540,4,890,230,6,1410,SAN-JU,05:00 PM,Afternoon,SingleRoad-SingleWay
48,10,2,1,500,500,1,360,2,940,470,1,540,9,1750,190,6,1410,SAN-JU,05:00 PM,Afternoon,SingleRoad-SingleWay
49,10,2,0,0,0,1,360,1,470,470,1,540,6,1420,230,6,1410,SAN-JU,05:00 PM,Afternoon,SingleRoad-SingleWay
50,10,2,1,350,350,1,360,1,350,350,1,540,1,200,200,6,1410,SAN-JU,05:00 PM,Afternoon,SingleRoad-SingleWay
